,word,count,pct
0,president,18,0.016
1,need,8,0.0071111111111111115
2,right,8,0.0071111111111111115
3,take,8,0.0071111111111111115
4,years,8,0.0071111111111111115
5,great,7,0.006222222222222222
6,nation,7,0.006222222222222222
7,one,7,0.006222222222222222
8,people,7,0.006222222222222222
9,america,6,0.005333333333333333
10,another,6,0.005333333333333333
11,country,6,0.005333333333333333
12,going,6,0.005333333333333333
13,growth,6,0.005333333333333333
14,like,6,0.005333333333333333
15,make,6,0.005333333333333333
16,state,6,0.005333333333333333
17,time,6,0.005333333333333333
18,us,6,0.005333333333333333
19,world,6,0.005333333333333333
20,de,5,0.0044444444444444444
21,done,5,0.0044444444444444444
22,everyone,5,0.0044444444444444444
23,get,5,0.0044444444444444444
24,got,5,0.0044444444444444444
25,washington,5,0.0044444444444444444
26,also,4,0.0035555555555555557
27,american,4,0.0035555555555555557
28,around,4,0.0035555555555555557
29,better,4,0.0035555555555555557
30,big,4,0.0035555555555555557
31,candidate,4,0.0035555555555555557
32,capital,4,0.0035555555555555557
33,every,4,0.0035555555555555557
34,future,4,0.0035555555555555557
35,government,4,0.0035555555555555557
36,know,4,0.0035555555555555557
37,la,4,0.0035555555555555557
38,life,4,0.0035555555555555557
39,little,4,0.0035555555555555557
40,para,4,0.0035555555555555557
41,que,4,0.0035555555555555557
42,sisters,4,0.0035555555555555557
43,ve,4,0.0035555555555555557
44,way,4,0.0035555555555555557
45,agenda,3,0.0026666666666666666
46,brought,3,0.0026666666666666666
47,business,3,0.0026666666666666666
48,care,3,0.0026666666666666666
49,causa,3,0.0026666666666666666
50,choice,3,0.0026666666666666666
51,come,3,0.0026666666666666666
52,didn,3,0.0026666666666666666
53,economic,3,0.0026666666666666666
54,ever,3,0.0026666666666666666
55,family,3,0.0026666666666666666
56,federal,3,0.0026666666666666666
57,first,3,0.0026666666666666666
58,florida,3,0.0026666666666666666
59,four,3,0.0026666666666666666
60,free,3,0.0026666666666666666
61,give,3,0.0026666666666666666
62,go,3,0.0026666666666666666
63,governor,3,0.0026666666666666666
64,happen,3,0.0026666666666666666
65,long,3,0.0026666666666666666
66,m,3,0.0026666666666666666
67,made,3,0.0026666666666666666
68,many,3,0.0026666666666666666
69,middle,3,0.0026666666666666666
70,nothing,3,0.0026666666666666666
71,party,3,0.0026666666666666666
72,percent,3,0.0026666666666666666
73,place,3,0.0026666666666666666
74,power,3,0.0026666666666666666
75,say,3,0.0026666666666666666
76,school,3,0.0026666666666666666
77,tax,3,0.0026666666666666666
78,thank,3,0.0026666666666666666
79,things,3,0.0026666666666666666
80,y,3,0.0026666666666666666
81,19,2,0.0017777777777777779
82,4,2,0.0017777777777777779
83,accept,2,0.0017777777777777779
84,achievement,2,0.0017777777777777779
85,across,2,0.0017777777777777779
86,ago,2,0.0017777777777777779
87,ahead,2,0.0017777777777777779
88,alliances,2,0.0017777777777777779
89,always,2,0.0017777777777777779
90,back,2,0.0017777777777777779
91,begins,2,0.0017777777777777779
92,beliefs,2,0.0017777777777777779
93,believe,2,0.0017777777777777779
94,best,2,0.0017777777777777779
95,campaign,2,0.0017777777777777779
96,challenge,2,0.0017777777777777779
97,challenges,2,0.0017777777777777779
98,chance,2,0.0017777777777777779
99,charities,2,0.0017777777777777779
100,child,2,0.0017777777777777779
101,children,2,0.0017777777777777779
102,class,2,0.0017777777777777779
103,clinton,2,0.0017777777777777779
104,comes,2,0.0017777777777777779
105,congress,2,0.0017777777777777779
106,conscience,2,0.0017777777777777779
107,creation,2,0.0017777777777777779
108,culture,2,0.0017777777777777779
109,day,2,0.0017777777777777779
110,democratic,2,0.0017777777777777779
111,dependable,2,0.0017777777777777779
112,deserves,2,0.0017777777777777779
113,difference,2,0.0017777777777777779
114,diverse,2,0.0017777777777777779
115,eager,2,0.0017777777777777779
116,economy,2,0.0017777777777777779
117,eight,2,0.0017777777777777779
118,else,2,0.0017777777777777779
119,entirely,2,0.0017777777777777779
120,failed,2,0.0017777777777777779
121,far,2,0.0017777777777777779
122,filled,2,0.0017777777777777779
123,foreign,2,0.0017777777777777779
124,friends,2,0.0017777777777777779
125,girl,2,0.0017777777777777779
126,gone,2,0.0017777777777777779
127,greatest,2,0.0017777777777777779
128,havana,2,0.0017777777777777779
129,hearts,2,0.0017777777777777779
130,hold,2,0.0017777777777777779
131,hope,2,0.0017777777777777779
132,income,2,0.0017777777777777779
133,job,2,0.0017777777777777779
134,jobs,2,0.0017777777777777779
135,joy,2,0.0017777777777777779
136,kids,2,0.0017777777777777779
137,knew,2,0.0017777777777777779
138,language,2,0.0017777777777777779
139,leadership,2,0.0017777777777777779
140,leads,2,0.0017777777777777779
141,led,2,0.0017777777777777779
142,line,2,0.0017777777777777779
143,los,2,0.0017777777777777779
144,makers,2,0.0017777777777777779
145,makes,2,0.0017777777777777779
146,making,2,0.0017777777777777779
147,message,2,0.0017777777777777779
148,miami,2,0.0017777777777777779
149,might,2,0.0017777777777777779
150,military,2,0.0017777777777777779
151,million,2,0.0017777777777777779
152,months,2,0.0017777777777777779
153,much,2,0.0017777777777777779
154,new,2,0.0017777777777777779
155,next,2,0.0017777777777777779
156,nosotros,2,0.0017777777777777779
157,number,2,0.0017777777777777779
158,opportunity,2,0.0017777777777777779
159,parents,2,0.0017777777777777779
160,policy,2,0.0017777777777777779
161,poor,2,0.0017777777777777779
162,progressive,2,0.0017777777777777779
163,public,2,0.0017777777777777779
164,question,2,0.0017777777777777779
165,quiet,2,0.0017777777777777779
166,re,2,0.0017777777777777779
167,rebuild,2,0.0017777777777777779
